,Year,Country,value
279,2007,PRY,224.76772744407248
280,2008,PRY,57.54808448389538
281,2009,PRY,29.700528914199253
282,2010,PRY,8.695824410048703
283,2011,PRY,3.1777390482004226
284,2012,PRY,4.702770041285618
285,2013,PRY,3.4025494374967136
286,2014,PRY,2.441784798180382
287,2015,PRY,2.4099583092274743
288,2016,PRY,3.1225335702097214
289,2000,PER,2636.361913941408
290,2001,PER,2990.85770986068
291,2002,PER,3730.508546765485
292,2003,PER,3281.938520598871
293,2004,PER,3431.2446133005174
294,2005,PER,3176.3019817525346
295,2006,PER,2322.9026863166523
296,2007,PER,1795.408600458549
297,2008,PER,2910.20383367351
298,2009,PER,2746.9951820089905
299,2010,PER,2147.8777268576055
300,2011,PER,1681.586643059579
301,2012,PER,2089.1299787930398
302,2013,PER,2833.4687137706837
303,2014,PER,3681.8744266442695
304,2015,PER,4245.76590677832
305,2016,PER,3564.1270795134324
306,2000,SUR,24050.043396346242
307,2001,SUR,33497.29978649475
308,2002,SUR,26575.21882064574
309,2003,SUR,22488.798604228272
310,2004,SUR,16972.226161294897
311,2005,SUR,18300.57761761794
312,2006,SUR,6521.8210336164275
313,2007,SUR,5487.487860625264
314,2008,SUR,8158.820377833166
315,2009,SUR,9371.536574731233
316,2010,SUR,6620.376618266765
317,2011,SUR,2945.884884751189
318,2012,SUR,2090.947852914945
319,2013,SUR,2687.3594573671985
320,2014,SUR,1463.6959600531457
321,2015,SUR,1359.3440441931425
322,2016,SUR,1171.2705599174737
323,2000,VEN,1214.292189670676
324,2001,VEN,801.8926687145139
325,2002,VEN,1160.665441364572
326,2003,VEN,1226.1620039149511
327,2004,VEN,1772.1199252864667
328,2005,VEN,1681.926867151075
329,2006,VEN,1360.61424489911
330,2007,VEN,1507.621434593031
331,2008,VEN,1138.4173259462887
332,2009,VEN,2506.5655850322187
333,2010,VEN,3111.130540605352
334,2011,VEN,3110.5825890257815
335,2012,VEN,3532.790866648736
336,2013,VEN,5187.901199319952
337,2014,VEN,5901.937961723289
338,2015,VEN,8756.309634232355
339,2016,VEN,15244.021519264701
