datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
2997,8,3,15,15-Mar-0008 00:00:00,278.5755107,279.8284544,277.3225671
3028,8,4,15,15-Apr-0008 00:00:00,278.8134606,280.3604542,277.2664669
3058,8,5,15,15-May-0008 00:00:00,278.7552828,280.2623326,277.2482329
3089,8,6,15,15-Jun-0008 00:00:00,278.0212298,278.7466323,277.2958272
3119,8,7,15,15-Jul-0008 00:00:00,276.3802255,275.4641331,277.2963179
3150,8,8,15,15-Aug-0008 00:00:00,274.7763306,272.4022784,277.1503828
3181,8,9,15,15-Sep-0008 00:00:00,274.7351259,272.4986886,276.9715631
3211,8,10,15,15-Oct-0008 00:00:00,275.7702464,274.6061262,276.9343666
3242,8,11,15,15-Nov-0008 00:00:00,276.7726241,276.4831943,277.0620538
3272,8,12,15,15-Dec-0008 00:00:00,277.4072638,277.7234457,277.0910819
3303,9,1,15,15-Jan-0009 00:00:00,277.8646439,278.5438639,277.185424
3334,9,2,15,15-Feb-0009 00:00:00,278.2442091,279.1965493,277.2918689
3362,9,3,15,15-Mar-0009 00:00:00,278.5823404,279.8352841,277.3293968
3393,9,4,15,15-Apr-0009 00:00:00,278.8189436,280.3659372,277.2719499
3423,9,5,15,15-May-0009 00:00:00,278.7591491,280.2661989,277.2520993
3454,9,6,15,15-Jun-0009 00:00:00,278.0233074,278.7487099,277.2979048
3484,9,7,15,15-Jul-0009 00:00:00,276.3804401,275.4643477,277.2965325
3515,9,8,15,15-Aug-0009 00:00:00,274.7747057,272.4006535,277.1487579
3546,9,9,15,15-Sep-0009 00:00:00,274.7317829,272.4953456,276.9682201
3576,9,10,15,15-Oct-0009 00:00:00,275.7654045,274.6012843,276.9295247
3607,9,11,15,15-Nov-0009 00:00:00,276.7666003,276.4771706,277.05603
3637,9,12,15,15-Dec-0009 00:00:00,277.400473,277.7166549,277.0842911
3668,10,1,15,15-Jan-0010 00:00:00,277.8575988,278.5368187,277.1783788
3699,10,2,15,15-Feb-0010 00:00:00,278.2375201,279.1898604,277.2851799
3727,10,3,15,15-Mar-0010 00:00:00,278.5766843,279.829628,277.3237407
3758,10,4,15,15-Apr-0010 00:00:00,278.8149199,280.3619136,277.2679263
3788,10,5,15,15-May-0010 00:00:00,278.757239,280.2642888,277.2501892
3819,10,6,15,15-Jun-0010 00:00:00,278.0238733,278.7492759,277.2984707
3849,10,7,15,15-Jul-0010 00:00:00,276.3837261,275.4676337,277.2998185
3880,10,8,15,15-Aug-0010 00:00:00,274.7808372,272.406785,277.1548894
3911,10,9,15,15-Sep-0010 00:00:00,274.7407667,272.5043294,276.9772039
3941,10,10,15,15-Oct-0010 00:00:00,275.7771291,274.6130089,276.9412493
3972,10,11,15,15-Nov-0010 00:00:00,276.7808355,276.4914057,277.0702652
4002,10,12,15,15-Dec-0010 00:00:00,277.41687,277.7330519,277.1006881
4033,11,1,15,15-Jan-0011 00:00:00,277.8756904,278.5549104,277.1964705
4064,11,2,15,15-Feb-0011 00:00:00,278.2567207,279.2090609,277.3043804
4092,11,3,15,15-Mar-0011 00:00:00,278.5963129,279.8492566,277.3433693
4123,11,4,15,15-Apr-0011 00:00:00,278.8343406,280.3813343,277.2873469
4153,11,5,15,15-May-0011 00:00:00,278.7759129,280.2829628,277.2688631
4184,11,6,15,15-Jun-0011 00:00:00,278.041359,278.7667616,277.3159565
4214,11,7,15,15-Jul-0011 00:00:00,276.3996794,275.483587,277.3157718
4245,11,8,15,15-Aug-0011 00:00:00,274.7950112,272.420959,277.1690634
4276,11,9,15,15-Sep-0011 00:00:00,274.7530119,272.5165746,276.9894491
4306,11,10,15,15-Oct-0011 00:00:00,275.7873932,274.623273,276.9515134
4337,11,11,15,15-Nov-0011 00:00:00,276.7891635,276.4997337,277.0785932
4367,11,12,15,15-Dec-0011 00:00:00,277.4234043,277.7395862,277.1072224
4398,12,1,15,15-Jan-0012 00:00:00,277.8806706,278.5598905,277.2014507
4429,12,2,15,15-Feb-0012 00:00:00,278.2604837,279.2128239,277.3081434
4458,12,3,15,15-Mar-0012 00:00:00,278.5992805,279.8522241,277.3463368
4489,12,4,15,15-Apr-0012 00:00:00,278.8369184,280.3839121,277.2899247
4519,12,5,15,15-May-0012 00:00:00,278.7784416,280.2854914,277.2713917
4550,12,6,15,15-Jun-0012 00:00:00,278.0441136,278.7695162,277.318711
4580,12,7,15,15-Jul-0012 00:00:00,276.4028696,275.4867772,277.318962
4611,12,8,15,15-Aug-0012 00:00:00,274.7987811,272.4247289,277.1728333
4642,12,9,15,15-Sep-0012 00:00:00,274.7574402,272.5210029,276.9938774
4672,12,10,15,15-Oct-0012 00:00:00,275.7924931,274.6283729,276.9566133
4703,12,11,15,15-Nov-0012 00:00:00,276.7948827,276.5054529,277.0843124
