Stname,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,3.078272781142501,3.787987836013461,2.984246164497617,2.200413677771421,4.310958024201718,1.4003238949168944,4.766220298787542,5.979649260350607,5.865790708587518,10.29310252766432,5.729663038516705,2.525526761744331,3.1339297410559213,11.79003803838588,5.516466960347023,5.449515386706695,10.101430243682149,11.635321111592038
Illinois,2.8148260264604907,2.562368653583372,3.752328439551905,5.654664389297042,6.910370822412763,10.07144939972972,8.69980951371624,11.736103704938284,8.472556526465208,10.627675185113002,10.513394765824644,15.076988621769726,15.833445810303365,26.127536958641503,18.07748366392887,22.30973026059164,18.476802063164936,21.35115088177907
Indiana,3.775526250905716,4.242986017729154,3.411324329711319,4.034445775273625,5.133958617405692,5.2559353844860075,4.105693823567914,8.62123152254554,6.5371623672372365,12.84963986175026,12.01768263333927,14.425928611604125,11.319069266585496,16.746932685095093,16.683013492159667,20.882841809749443,22.914536016826506,21.321058809786425
Iowa,11.607791832689387,12.278320885048656,14.313786834996801,19.714486646664394,16.58972757297364,30.02239198179496,32.521480941071076,41.01077216282144,36.13179020755559,35.60983490884871,27.86184588990244,32.61521160423137,53.63940083814002,79.85572947077313,62.389371423866955,101.87540445817021,74.0791593292643,81.11623574859311
Kansas,6.3110665294071575,0.7401480740236892,2.579660848303044,1.4689658920809519,1.0971436596250768,1.0927771437646683,1.4477379275848727,2.873785152229788,5.697851482652179,6.354352590316532,3.498689565823121,5.925337264968883,6.584964585020731,11.750434593279442,6.894421585606653,7.905132905906234,13.396247607996942,13.742450670614415
Kentucky,3.2106526491218497,5.65370051905887,6.112656254775513,4.129049808484955,3.6178568732406666,1.1953880970903774,1.6590669549651016,1.409551875267815,1.1655343112321608,0.23163837358358927,1.1499011085046686,0.6865792971625051,3.191697210069075,9.080967495357923,9.967192081156501,11.070946920683895,7.43539821852365,4.490472788408473
Louisiana,1.78895476963294,1.7865617061664294,1.111786336012516,1.5483156316619044,0.4393443400806373,0.6555044456311502,0.23241409684463,0.4570821566324564,0.6763480631420516,0.0,0.6601339807927417,0.4371408887598837,1.5214698964139823,0.0,0.43064430416923977,0.6431073575554718,1.4962971988247655,2.5691431350996763
Maine,55.59592567999298,84.00145602523777,168.9866971202815,133.94432355437718,171.2735444032373,187.2933233342458,255.36049270976014,398.63154087292014,682.4455903718051,729.5482065900014,565.668799787893,757.4445657493505,836.7910906980615,1033.7329731455297,1052.781869007184,904.0379861556481,1116.8946273387562,1385.702397564759
Maryland,129.54162974667457,113.12278231436932,135.6520645858228,125.72164863109867,160.62924840474966,220.83624875924897,221.7733444433249,455.6543592820472,390.15191826159,353.2047044632929,279.3401284791839,231.3755921185698,280.44501579053224,202.0695159650111,230.4400767686024,288.6389986364814,310.75698803535636,313.8645993761547
